Ticker,Model,Target,MAE,MAPE,Accuracy_%,Horizon,Directional_Accuracy_%,Improvement_over_Naive_%
FFC,Linear Regression,Target_Low,7.87,3.76,96.24,5,43.09,6.99
FFC,GRU,Target_Low,8.13,3.85,96.15,5,55.09,13.02
FFC,Random Forest,Target_Low,8.37,3.96,96.04,5,40.65,1.08
FFC,XGBoost,Target_Low,8.55,4.03,95.97,5,45.12,-0.96
FFC,LSTM,Target_Low,8.75,4.07,95.93,5,38.43,6.32
HBL,XGBoost,Target_High,5.43,3.94,96.06,5,67.07,4.24
HBL,Random Forest,Target_High,5.54,4.01,95.99,5,64.23,2.22
HBL,Linear Regression,Target_High,5.65,4.08,95.92,5,61.38,0.37
HBL,LSTM,Target_High,6.52,4.67,95.33,5,60.19,-4.64
HBL,GRU,Target_High,7.12,5.1,94.9,5,60.19,-14.22
HBL,XGBoost,Target_Low,4.85,3.72,96.28,5,57.72,11.74
HBL,Random Forest,Target_Low,4.92,3.75,96.25,5,62.2,10.44
HBL,Linear Regression,Target_Low,5.07,3.83,96.17,5,61.38,7.7
HBL,LSTM,Target_Low,5.66,4.22,95.78,5,54.63,3.74
HBL,GRU,Target_Low,6.24,4.64,95.36,5,42.13,-6.11
HUBC,Linear Regression,Target_High,4.52,3.44,96.56,5,71.95,1.74
HUBC,LSTM,Target_High,4.84,3.66,96.34,5,70.83,1.64
HUBC,Random Forest,Target_High,4.83,3.69,96.31,5,63.41,-5.21
HUBC,XGBoost,Target_High,4.99,3.77,96.23,5,59.76,-8.49
HUBC,GRU,Target_High,5.45,4.1,95.9,5,73.15,-10.81
HUBC,Linear Regression,Target_Low,4.45,3.56,96.44,5,59.35,-0.82
HUBC,Random Forest,Target_Low,4.62,3.68,96.32,5,57.72,-4.6
HUBC,XGBoost,Target_Low,4.91,3.89,96.11,5,56.91,-11.3
HUBC,LSTM,Target_Low,4.93,3.92,96.08,5,56.48,-4.4
HUBC,GRU,Target_Low,5.44,4.31,95.69,5,50.93,-15.17
ILP,Linear Regression,Target_High,2.3,3.13,96.87,5,64.23,0.66
ILP,Random Forest,Target_High,2.39,3.25,96.75,5,62.6,-2.98
ILP,XGBoost,Target_High,2.41,3.28,96.72,5,62.2,-3.83
ILP,LSTM,Target_High,2.67,3.63,96.37,5,62.5,-7.55
ILP,GRU,Target_High,2.92,3.97,96.03,5,64.81,-17.4
ILP,Linear Regression,Target_Low,2.2,3.11,96.89,5,71.14,4.26
ILP,XGBoost,Target_Low,2.36,3.34,96.66,5,65.85,-2.87
ILP,Random Forest,Target_Low,2.37,3.35,96.65,5,70.73,-3.3
ILP,LSTM,Target_Low,2.47,3.49,96.51,5,68.52,-2.12
ILP,GRU,Target_Low,2.63,3.71,96.29,5,50.93,-8.76
INDU,Linear Regression,Target_High,37.43,2.12,97.88,5,85.77,2.15
INDU,LSTM,Target_High,39.14,2.12,97.88,5,82.41,-4.38
INDU,XGBoost,Target_High,39.61,2.24,97.76,5,76.83,-3.55
INDU,Random Forest,Target_High,41.15,2.32,97.68,5,78.46,-7.57
INDU,GRU,Target_High,44.6,2.45,97.55,5,78.7,-18.95
INDU,LSTM,Target_Low,30.72,1.75,98.25,5,64.81,12.98
INDU,Linear Regression,Target_Low,33.36,1.97,98.03,5,61.79,8.52
INDU,Random Forest,Target_Low,36.29,2.17,97.83,5,62.6,0.48
INDU,GRU,Target_Low,39.49,2.27,97.73,5,54.63,-11.84
INDU,XGBoost,Target_Low,39.87,2.39,97.61,5,60.16,-9.31
LUCK,Linear Regression,Target_High,28.94,3.03,96.97,5,72.76,3.27
LUCK,XGBoost,Target_High,29.45,3.1,96.9,5,71.95,1.55
LUCK,Random Forest,Target_High,29.47,3.11,96.89,5,67.48,1.48
LUCK,LSTM,Target_High,31.66,3.27,96.73,5,76.85,0.88
LUCK,GRU,Target_High,32.03,3.33,96.67,5,74.07,-0.25
LUCK,Linear Regression,Target_Low,26.69,2.91,97.09,5,58.94,2.39
LUCK,Random Forest,Target_Low,26.82,2.95,97.05,5,60.16,1.92
LUCK,XGBoost,Target_Low,26.84,2.96,97.04,5,54.88,1.87
LUCK,GRU,Target_Low,29.09,3.15,96.85,5,56.48,-0.32
LUCK,LSTM,Target_Low,29.39,3.16,96.84,5,52.78,-1.35
MARI,XGBoost,Target_High,159.68,19.55,80.45,5,49.59,-6.5
MARI,Random Forest,Target_High,170.41,20.28,79.72,5,54.07,-13.66
MARI,LSTM,Target_High,156.15,20.87,79.13,5,70.83,-0.41
MARI,GRU,Target_High,167.31,22.68,77.32,5,58.8,-7.58
