Ticker,Model,Horizon,MAE_Spread,N_Rows
PPL,Random Forest,20,2.79,246
PSO,Random Forest,20,4.41,246
SYS,Random Forest,20,7.48,246
TRG,Random Forest,20,1.5,246
UBL,Random Forest,20,4.4,246
UNITY,Random Forest,20,0.7,246
BAHL,XGBoost,20,1.97,246
COLG,XGBoost,20,18.97,246
DGKC,XGBoost,20,1.84,246
EFERT,XGBoost,20,2.97,246
ENGROH,XGBoost,20,3.45,246
FFC,XGBoost,20,4.69,246
HBL,XGBoost,20,2.34,246
HUBC,XGBoost,20,2.65,246
ILP,XGBoost,20,1.3,246
INDU,XGBoost,20,33.59,246
LUCK,XGBoost,20,16.31,246
MARI,XGBoost,20,40.61,246
MCB,XGBoost,20,3.84,246
MEBL,XGBoost,20,3.67,246
MLCF,XGBoost,20,0.84,246
NESTLE,XGBoost,20,206.07,212
NETSOL,XGBoost,20,3.31,246
OGDC,XGBoost,20,3.56,246
PAKT,XGBoost,20,35.94,221
PPL,XGBoost,20,3.13,246
PSO,XGBoost,20,4.08,246
SYS,XGBoost,20,8.09,246
TRG,XGBoost,20,1.66,246
UBL,XGBoost,20,4.59,246
UNITY,XGBoost,20,0.7,246
BAHL,LSTM,20,2.64,216
COLG,LSTM,20,16.63,216
DGKC,LSTM,20,2.58,216
EFERT,LSTM,20,3.79,216
ENGROH,LSTM,20,3.93,216
FFC,LSTM,20,4.95,216
HBL,LSTM,20,2.56,216
HUBC,LSTM,20,3.78,216
ILP,LSTM,20,1.78,216
INDU,LSTM,20,26.04,216
LUCK,LSTM,20,15.99,216
MARI,LSTM,20,34.18,216
MCB,LSTM,20,4.79,216
MEBL,LSTM,20,5.96,216
MLCF,LSTM,20,1.08,216
NESTLE,LSTM,20,214.3,182
NETSOL,LSTM,20,4.21,216
OGDC,LSTM,20,3.05,216
PAKT,LSTM,20,34.28,191
PPL,LSTM,20,3.09,216
PSO,LSTM,20,5.24,216
SYS,LSTM,20,8.28,216
TRG,LSTM,20,2.0,216
UBL,LSTM,20,5.98,216
UNITY,LSTM,20,0.84,216
BAHL,GRU,20,1.79,216
COLG,GRU,20,12.22,216
DGKC,GRU,20,1.68,216
EFERT,GRU,20,2.45,216
ENGROH,GRU,20,3.04,216
FFC,GRU,20,4.02,216
HBL,GRU,20,2.05,216
HUBC,GRU,20,2.11,216
ILP,GRU,20,1.01,216
INDU,GRU,20,24.46,216
LUCK,GRU,20,13.7,216
MARI,GRU,20,27.61,216
MCB,GRU,20,3.26,216
MEBL,GRU,20,3.24,216
MLCF,GRU,20,0.79,216
NESTLE,GRU,20,165.07,182
NETSOL,GRU,20,2.83,216
OGDC,GRU,20,2.69,216
PAKT,GRU,20,26.37,191
PPL,GRU,20,2.24,216
PSO,GRU,20,3.99,216
SYS,GRU,20,7.47,216
TRG,GRU,20,1.27,216
UBL,GRU,20,3.7,216
UNITY,GRU,20,0.46,216
BAHL,Linear Regression,60,1.77,246
COLG,Linear Regression,60,12.72,246
DGKC,Linear Regression,60,1.75,246
EFERT,Linear Regression,60,2.35,246
ENGROH,Linear Regression,60,3.02,246
FFC,Linear Regression,60,3.97,246
HBL,Linear Regression,60,1.97,246
HUBC,Linear Regression,60,2.04,246
ILP,Linear Regression,60,0.99,246
INDU,Linear Regression,60,24.95,246
LUCK,Linear Regression,60,14.27,246
MARI,Linear Regression,60,26.3,246
MCB,Linear Regression,60,3.19,246
MEBL,Linear Regression,60,2.91,246
MLCF,Linear Regression,60,0.81,246
NESTLE,Linear Regression,60,126.27,212
NETSOL,Linear Regression,60,2.63,246
OGDC,Linear Regression,60,2.75,246
PAKT,Linear Regression,60,24.64,221
PPL,Linear Regression,60,2.42,246
PSO,Linear Regression,60,4.69,246
SYS,Linear Regression,60,7.49,246
TRG,Linear Regression,60,1.22,246
UBL,Linear Regression,60,3.82,246
UNITY,Linear Regression,60,0.43,246
BAHL,Random Forest,60,2.07,246
COLG,Random Forest,60,23.34,246
DGKC,Random Forest,60,2.12,246
EFERT,Random Forest,60,3.45,246
ENGROH,Random Forest,60,4.41,246
FFC,Random Forest,60,5.19,246
HBL,Random Forest,60,2.23,246
HUBC,Random Forest,60,2.6,246
ILP,Random Forest,60,1.31,246
INDU,Random Forest,60,42.11,246
LUCK,Random Forest,60,22.4,246
MARI,Random Forest,60,45.33,246
MCB,Random Forest,60,3.99,246
MEBL,Random Forest,60,3.61,246
MLCF,Random Forest,60,1.0,246
NESTLE,Random Forest,60,151.24,212
NETSOL,Random Forest,60,2.95,246
OGDC,Random Forest,60,3.84,246
PAKT,Random Forest,60,46.1,221
PPL,Random Forest,60,2.84,246
PSO,Random Forest,60,5.48,246
SYS,Random Forest,60,8.85,246
TRG,Random Forest,60,1.68,246
UBL,Random Forest,60,4.61,246
UNITY,Random Forest,60,0.57,246
BAHL,XGBoost,60,2.47,246
COLG,XGBoost,60,34.81,246
DGKC,XGBoost,60,2.45,246
EFERT,XGBoost,60,4.53,246
ENGROH,XGBoost,60,5.42,246
FFC,XGBoost,60,6.01,246
HBL,XGBoost,60,3.36,246
HUBC,XGBoost,60,3.76,246
ILP,XGBoost,60,1.71,246
INDU,XGBoost,60,53.16,246
LUCK,XGBoost,60,21.05,246
MARI,XGBoost,60,77.84,246
MCB,XGBoost,60,5.0,246
MEBL,XGBoost,60,6.26,246
MLCF,XGBoost,60,1.34,246
NESTLE,XGBoost,60,132.93,212
NETSOL,XGBoost,60,4.33,246
OGDC,XGBoost,60,4.31,246
PAKT,XGBoost,60,37.4,221
PPL,XGBoost,60,4.18,246
PSO,XGBoost,60,6.03,246
SYS,XGBoost,60,11.64,246
TRG,XGBoost,60,2.85,246
UBL,XGBoost,60,6.74,246
UNITY,XGBoost,60,0.85,246
BAHL,LSTM,60,5.24,216
COLG,LSTM,60,57.84,216
DGKC,LSTM,60,4.4,216
EFERT,LSTM,60,8.59,216
ENGROH,LSTM,60,16.35,216
FFC,LSTM,60,13.54,216
HBL,LSTM,60,6.48,216
HUBC,LSTM,60,18.67,216
ILP,LSTM,60,5.62,216
INDU,LSTM,60,84.55,216
LUCK,LSTM,60,47.13,216
MARI,LSTM,60,78.62,216
MCB,LSTM,60,15.35,216
MEBL,LSTM,60,18.96,216
MLCF,LSTM,60,1.76,216
NESTLE,LSTM,60,556.41,182
NETSOL,LSTM,60,19.32,216
OGDC,LSTM,60,10.2,216
PAKT,LSTM,60,112.74,191
PPL,LSTM,60,7.33,216
PSO,LSTM,60,10.8,216
SYS,LSTM,60,38.83,216
TRG,LSTM,60,5.96,216
UBL,LSTM,60,27.59,216
UNITY,LSTM,60,2.98,216
BAHL,GRU,60,1.96,216
COLG,GRU,60,14.3,216
DGKC,GRU,60,1.79,216
EFERT,GRU,60,2.39,216
ENGROH,GRU,60,3.34,216
FFC,GRU,60,4.38,216
HBL,GRU,60,2.1,216
HUBC,GRU,60,2.16,216
ILP,GRU,60,1.03,216
INDU,GRU,60,25.5,216
LUCK,GRU,60,15.06,216
MARI,GRU,60,34.01,216
