Ticker,Model,Horizon,MAE_Spread,N_Rows
MCB,GRU,60,3.38,216
MEBL,GRU,60,3.08,216
MLCF,GRU,60,0.84,216
NESTLE,GRU,60,161.47,182
NETSOL,GRU,60,2.82,216
OGDC,GRU,60,3.02,216
PAKT,GRU,60,26.6,191
PPL,GRU,60,2.68,216
PSO,GRU,60,5.17,216
SYS,GRU,60,8.43,216
TRG,GRU,60,1.34,216
UBL,GRU,60,4.23,216
UNITY,GRU,60,0.52,216
