Ticker,Model,Horizon,MAE_Spread,N_Rows
ENGROH,Random Forest,1,2.56,246
FABL,Random Forest,1,0.74,246
FATIMA,Random Forest,1,0.8,246
FCCL,Random Forest,1,0.49,246
FFC,Random Forest,1,3.39,246
FFL,Random Forest,1,0.19,246
GADT,Random Forest,1,3.84,210
GAL,Random Forest,1,6.01,246
GHGL,Random Forest,1,0.41,246
GHNI,Random Forest,1,8.33,246
GLAXO,Random Forest,1,3.91,246
HALEON,Random Forest,1,9.97,245
HBL,Random Forest,1,1.76,246
HCAR,Random Forest,1,6.29,246
HINOON,Random Forest,1,11.57,246
HMB,Random Forest,1,1.13,245
HUBC,Random Forest,1,1.94,246
HUMNL,Random Forest,1,0.27,246
IBFL,Random Forest,1,7.06,175
ILP,Random Forest,1,1.04,246
INDU,Random Forest,1,22.19,246
INIL,Random Forest,1,3.39,246
ISL,Random Forest,1,1.47,246
JDWS,Random Forest,1,15.14,211
JVDC,Random Forest,1,0.87,222
KAPCO,Random Forest,1,0.37,246
KEL,Random Forest,1,0.12,246
KOHC,Random Forest,1,5.77,246
KTML,Random Forest,1,3.0,220
LCI,Random Forest,1,16.1,245
LOTCHEM,Random Forest,1,0.27,246
LUCK,Random Forest,1,12.11,246
MARI,Random Forest,1,28.45,246
MCB,Random Forest,1,2.96,246
MEBL,Random Forest,1,2.82,246
MEHT,Random Forest,1,21.52,137
MLCF,Random Forest,1,0.67,246
MTL,Random Forest,1,7.1,246
MUREB,Random Forest,1,7.95,246
NATF,Random Forest,1,2.78,246
NBP,Random Forest,1,0.98,246
NESTLE,Random Forest,1,96.93,212
NETSOL,Random Forest,1,2.61,246
NML,Random Forest,1,1.15,246
OGDC,Random Forest,1,2.74,246
PABC,Random Forest,1,1.49,246
PAEL,Random Forest,1,0.55,246
PAKT,Random Forest,1,26.2,221
PGLC,Random Forest,1,0.35,224
PIBTL,Random Forest,1,0.15,246
PIOC,Random Forest,1,3.41,246
PKGS,Random Forest,1,8.36,245
POL,Random Forest,1,5.18,246
POWER,Random Forest,1,0.15,246
PPL,Random Forest,1,2.25,246
PSEL,Random Forest,1,34.63,200
PSO,Random Forest,1,3.38,246
PSX,Random Forest,1,0.3,246
PTC,Random Forest,1,0.44,246
RMPL,Random Forest,1,89.29,212
SAZEW,Random Forest,1,16.93,246
SCBPL,Random Forest,1,1.01,246
SEARL,Random Forest,1,1.38,246
SHFA,Random Forest,1,5.25,236
SNGP,Random Forest,1,1.28,246
SRVI,Random Forest,1,20.66,246
SSGC,Random Forest,1,0.35,246
SSOM,Random Forest,1,2.44,167
SYS,Random Forest,1,6.32,246
TGL,Random Forest,1,1.89,246
THALL,Random Forest,1,10.39,239
TRG,Random Forest,1,1.27,246
UBL,Random Forest,1,3.2,246
UNITY,Random Forest,1,0.47,246
UPFL,Random Forest,1,262.69,207
YOUW,Random Forest,1,0.13,246
ABL,XGBoost,1,1.56,241
ABOT,XGBoost,1,15.18,244
AGP,XGBoost,1,2.08,246
AHCL,XGBoost,1,1.1,245
AICL,XGBoost,1,0.63,245
AIRLINK,XGBoost,1,2.53,246
AKBL,XGBoost,1,0.54,246
APL,XGBoost,1,5.89,246
ATLH,XGBoost,1,9.38,238
ATRL,XGBoost,1,7.78,246
BAFL,XGBoost,1,1.05,246
BAHL,XGBoost,1,1.64,246
BNWM,XGBoost,1,0.79,222
BOP,XGBoost,1,0.11,246
BWCL,XGBoost,1,4.04,245
CHCC,XGBoost,1,3.51,246
CNERGY,XGBoost,1,0.11,246
COLG,XGBoost,1,12.69,246
CPHL,XGBoost,1,0.7,246
DGKC,XGBoost,1,1.57,246
EFERT,XGBoost,1,2.15,246
ENGROH,XGBoost,1,2.54,246
FABL,XGBoost,1,0.74,246
FATIMA,XGBoost,1,0.8,246
FCCL,XGBoost,1,0.49,246
FFC,XGBoost,1,3.36,246
FFL,XGBoost,1,0.19,246
GADT,XGBoost,1,3.86,210
GAL,XGBoost,1,5.87,246
GHGL,XGBoost,1,0.41,246
GHNI,XGBoost,1,8.45,246
GLAXO,XGBoost,1,3.96,246
HALEON,XGBoost,1,9.81,245
HBL,XGBoost,1,1.73,246
HCAR,XGBoost,1,6.18,246
HINOON,XGBoost,1,11.43,246
HMB,XGBoost,1,1.12,245
HUBC,XGBoost,1,1.96,246
HUMNL,XGBoost,1,0.27,246
IBFL,XGBoost,1,6.97,175
ILP,XGBoost,1,1.04,246
INDU,XGBoost,1,22.38,246
INIL,XGBoost,1,3.35,246
ISL,XGBoost,1,1.45,246
JDWS,XGBoost,1,15.12,211
JVDC,XGBoost,1,0.88,222
KAPCO,XGBoost,1,0.37,246
KEL,XGBoost,1,0.11,246
KOHC,XGBoost,1,5.73,246
KTML,XGBoost,1,3.0,220
LCI,XGBoost,1,16.27,245
LOTCHEM,XGBoost,1,0.27,246
LUCK,XGBoost,1,11.96,246
MARI,XGBoost,1,35.47,246
MCB,XGBoost,1,3.0,246
MEBL,XGBoost,1,2.77,246
MEHT,XGBoost,1,21.57,137
MLCF,XGBoost,1,0.67,246
MTL,XGBoost,1,7.09,246
MUREB,XGBoost,1,8.04,246
NATF,XGBoost,1,2.8,246
NBP,XGBoost,1,0.98,246
NESTLE,XGBoost,1,98.41,212
NETSOL,XGBoost,1,2.57,246
NML,XGBoost,1,1.14,246
OGDC,XGBoost,1,2.73,246
PABC,XGBoost,1,1.49,246
PAEL,XGBoost,1,0.54,246
PAKT,XGBoost,1,26.43,221
PGLC,XGBoost,1,0.36,224
PIBTL,XGBoost,1,0.15,246
PIOC,XGBoost,1,3.38,246
PKGS,XGBoost,1,8.48,245
POL,XGBoost,1,5.09,246
POWER,XGBoost,1,0.15,246
PPL,XGBoost,1,2.25,246
PSEL,XGBoost,1,34.54,200
PSO,XGBoost,1,3.33,246
PSX,XGBoost,1,0.3,246
PTC,XGBoost,1,0.43,246
RMPL,XGBoost,1,98.54,212
SAZEW,XGBoost,1,17.65,246
SCBPL,XGBoost,1,1.01,246
SEARL,XGBoost,1,1.37,246
SHFA,XGBoost,1,5.29,236
SNGP,XGBoost,1,1.28,246
SRVI,XGBoost,1,20.71,246
SSGC,XGBoost,1,0.35,246
SSOM,XGBoost,1,2.49,167
SYS,XGBoost,1,6.38,246
TGL,XGBoost,1,1.91,246
THALL,XGBoost,1,10.54,239
TRG,XGBoost,1,1.26,246
UBL,XGBoost,1,3.18,246
UNITY,XGBoost,1,0.46,246
UPFL,XGBoost,1,343.48,207
YOUW,XGBoost,1,0.13,246
ABL,LSTM,1,1.64,211
ABOT,LSTM,1,15.74,214
AGP,LSTM,1,2.2,216
AHCL,LSTM,1,1.16,215
AICL,LSTM,1,0.65,215
AIRLINK,LSTM,1,2.65,216
AKBL,LSTM,1,0.57,216
APL,LSTM,1,5.81,216
ATLH,LSTM,1,9.09,208
ATRL,LSTM,1,8.02,216
BAFL,LSTM,1,1.12,216
BAHL,LSTM,1,1.69,216
BNWM,LSTM,1,0.76,192
BOP,LSTM,1,0.12,216
BWCL,LSTM,1,4.28,215
CHCC,LSTM,1,3.67,216
CNERGY,LSTM,1,0.11,216
COLG,LSTM,1,12.22,216
CPHL,LSTM,1,0.75,216
DGKC,LSTM,1,1.6,216
EFERT,LSTM,1,2.15,216
ENGROH,LSTM,1,2.76,216
FABL,LSTM,1,0.78,216
FATIMA,LSTM,1,0.87,216
FCCL,LSTM,1,0.51,216
FFC,LSTM,1,3.67,216
FFL,LSTM,1,0.19,216
GADT,LSTM,1,3.77,180
GAL,LSTM,1,6.46,216
GHGL,LSTM,1,0.4,216
GHNI,LSTM,1,8.94,216
GLAXO,LSTM,1,4.38,216
HALEON,LSTM,1,10.81,215
HBL,LSTM,1,1.9,216
HCAR,LSTM,1,5.9,216
HINOON,LSTM,1,11.66,216
HMB,LSTM,1,1.19,215
HUBC,LSTM,1,2.03,216
HUMNL,LSTM,1,0.29,216
IBFL,LSTM,1,6.02,145
ILP,LSTM,1,1.05,216
INDU,LSTM,1,22.1,216
INIL,LSTM,1,3.33,216
ISL,LSTM,1,1.45,216
JDWS,LSTM,1,15.06,181
JVDC,LSTM,1,0.94,192
KAPCO,LSTM,1,0.38,216
KEL,LSTM,1,0.11,216
KOHC,LSTM,1,5.86,216
KTML,LSTM,1,3.1,190
LCI,LSTM,1,16.62,215
LOTCHEM,LSTM,1,0.25,216
LUCK,LSTM,1,12.59,216
MARI,LSTM,1,26.33,216
MCB,LSTM,1,3.2,216
MEBL,LSTM,1,3.04,216
MEHT,LSTM,1,24.12,107
MLCF,LSTM,1,0.71,216
MTL,LSTM,1,7.09,216
MUREB,LSTM,1,8.2,216
NATF,LSTM,1,2.72,216
NBP,LSTM,1,1.05,216
NESTLE,LSTM,1,91.39,182
NETSOL,LSTM,1,2.71,216
NML,LSTM,1,1.25,216
OGDC,LSTM,1,2.66,216
PABC,LSTM,1,1.51,216
PAEL,LSTM,1,0.56,216
PAKT,LSTM,1,26.46,191
PGLC,LSTM,1,0.32,194
PIBTL,LSTM,1,0.15,216
PIOC,LSTM,1,3.54,216
PKGS,LSTM,1,8.77,215
POL,LSTM,1,5.47,216
POWER,LSTM,1,0.15,216
PPL,LSTM,1,2.18,216
PSEL,LSTM,1,34.96,170
PSO,LSTM,1,3.48,216
PSX,LSTM,1,0.32,216
PTC,LSTM,1,0.45,216
RMPL,LSTM,1,87.47,182
SAZEW,LSTM,1,18.4,216
SCBPL,LSTM,1,1.03,216
SEARL,LSTM,1,1.42,216
SHFA,LSTM,1,5.52,206
SNGP,LSTM,1,1.27,216
SRVI,LSTM,1,21.97,216
SSGC,LSTM,1,0.38,216
SSOM,LSTM,1,2.73,137
SYS,LSTM,1,6.76,216
TGL,LSTM,1,2.02,216
THALL,LSTM,1,11.03,209
TRG,LSTM,1,1.22,216
UBL,LSTM,1,3.45,216
UNITY,LSTM,1,0.46,216
UPFL,LSTM,1,255.46,177
YOUW,LSTM,1,0.13,216
ABL,GRU,1,1.66,211
ABOT,GRU,1,16.48,214
AGP,GRU,1,2.14,216
AHCL,GRU,1,1.16,215
AICL,GRU,1,0.63,215
AIRLINK,GRU,1,2.72,216
AKBL,GRU,1,0.57,216
APL,GRU,1,5.96,216
ATLH,GRU,1,9.59,208
ATRL,GRU,1,8.13,216
BAFL,GRU,1,1.13,216
BAHL,GRU,1,1.75,216
BNWM,GRU,1,0.75,192
BOP,GRU,1,0.12,216
BWCL,GRU,1,4.18,215
CHCC,GRU,1,3.63,216
CNERGY,GRU,1,0.12,216
COLG,GRU,1,13.52,216
CPHL,GRU,1,0.76,216
DGKC,GRU,1,1.6,216
EFERT,GRU,1,2.19,216
ENGROH,GRU,1,2.72,216
FABL,GRU,1,0.82,216
FATIMA,GRU,1,0.9,216
FCCL,GRU,1,0.53,216
FFC,GRU,1,3.68,216
FFL,GRU,1,0.21,216
GADT,GRU,1,3.71,180
GAL,GRU,1,6.66,216
GHGL,GRU,1,0.4,216
GHNI,GRU,1,9.15,216
GLAXO,GRU,1,4.53,216
HALEON,GRU,1,10.61,215
HBL,GRU,1,1.94,216
HCAR,GRU,1,5.99,216
HINOON,GRU,1,12.12,216
HMB,GRU,1,1.22,215
HUBC,GRU,1,2.19,216
HUMNL,GRU,1,0.3,216
IBFL,GRU,1,6.06,145
ILP,GRU,1,1.09,216
INDU,GRU,1,24.4,216
INIL,GRU,1,3.3,216
ISL,GRU,1,1.48,216
JDWS,GRU,1,15.21,181
JVDC,GRU,1,0.93,192
KAPCO,GRU,1,0.41,216
KEL,GRU,1,0.12,216
KOHC,GRU,1,6.06,216
KTML,GRU,1,3.07,190
LCI,GRU,1,17.98,215
LOTCHEM,GRU,1,0.27,216
LUCK,GRU,1,12.79,216
MARI,GRU,1,28.4,216
MCB,GRU,1,3.3,216
MEBL,GRU,1,3.11,216
MEHT,GRU,1,23.93,107
MLCF,GRU,1,0.74,216
MTL,GRU,1,7.5,216
MUREB,GRU,1,8.67,216
NATF,GRU,1,2.76,216
NBP,GRU,1,1.06,216
NESTLE,GRU,1,100.18,182
NETSOL,GRU,1,2.83,216
NML,GRU,1,1.27,216
OGDC,GRU,1,2.75,216
PABC,GRU,1,1.56,216
PAEL,GRU,1,0.61,216
PAKT,GRU,1,27.68,191
PGLC,GRU,1,0.35,194
PIBTL,GRU,1,0.15,216
PIOC,GRU,1,3.59,216
PKGS,GRU,1,9.06,215
POL,GRU,1,5.81,216
POWER,GRU,1,0.16,216
PPL,GRU,1,2.29,216
PSEL,GRU,1,35.67,170
PSO,GRU,1,3.39,216
PSX,GRU,1,0.31,216
PTC,GRU,1,0.47,216
RMPL,GRU,1,85.76,182
SAZEW,GRU,1,18.94,216
SCBPL,GRU,1,1.09,216
SEARL,GRU,1,1.44,216
SHFA,GRU,1,5.53,206
SNGP,GRU,1,1.29,216
SRVI,GRU,1,22.33,216
SSGC,GRU,1,0.39,216
SSOM,GRU,1,2.69,137
SYS,GRU,1,6.76,216
TGL,GRU,1,2.03,216
THALL,GRU,1,11.23,209
TRG,GRU,1,1.32,216
UBL,GRU,1,3.55,216
UNITY,GRU,1,0.5,216
UPFL,GRU,1,292.24,177
YOUW,GRU,1,0.14,216
ABL,Linear Regression,5,1.56,241
ABOT,Linear Regression,5,14.84,244
AGP,Linear Regression,5,2.1,246
AHCL,Linear Regression,5,1.11,245
AICL,Linear Regression,5,0.66,245
AIRLINK,Linear Regression,5,2.57,246
AKBL,Linear Regression,5,0.57,246
APL,Linear Regression,5,6.04,246
ATLH,Linear Regression,5,9.29,238
ATRL,Linear Regression,5,7.95,246
BAFL,Linear Regression,5,1.07,246
BAHL,Linear Regression,5,1.64,246
BNWM,Linear Regression,5,0.77,222
BOP,Linear Regression,5,0.12,246
BWCL,Linear Regression,5,4.22,245
CHCC,Linear Regression,5,3.61,246
CNERGY,Linear Regression,5,0.11,246
COLG,Linear Regression,5,12.94,246
CPHL,Linear Regression,5,0.73,246
DGKC,Linear Regression,5,1.6,246
EFERT,Linear Regression,5,2.32,246
ENGROH,Linear Regression,5,2.71,246
FABL,Linear Regression,5,0.75,246
FATIMA,Linear Regression,5,0.83,246
FCCL,Linear Regression,5,0.5,246
FFC,Linear Regression,5,3.37,246
FFL,Linear Regression,5,0.2,246
GADT,Linear Regression,5,3.83,210
GAL,Linear Regression,5,6.03,246
GHGL,Linear Regression,5,0.41,246
GHNI,Linear Regression,5,8.53,246
GLAXO,Linear Regression,5,4.07,246
HALEON,Linear Regression,5,10.15,245
HBL,Linear Regression,5,1.83,246
HCAR,Linear Regression,5,6.11,246
HINOON,Linear Regression,5,11.38,246
HMB,Linear Regression,5,1.13,245
HUBC,Linear Regression,5,1.95,246
HUMNL,Linear Regression,5,0.27,246
IBFL,Linear Regression,5,5.98,175
ILP,Linear Regression,5,1.06,246
INDU,Linear Regression,5,22.29,246
INIL,Linear Regression,5,3.37,246
ISL,Linear Regression,5,1.45,246
JDWS,Linear Regression,5,14.65,211
JVDC,Linear Regression,5,0.85,222
KAPCO,Linear Regression,5,0.37,246
KEL,Linear Regression,5,0.11,246
KOHC,Linear Regression,5,5.85,246
KTML,Linear Regression,5,3.07,220
LCI,Linear Regression,5,16.41,245
LOTCHEM,Linear Regression,5,0.28,246
LUCK,Linear Regression,5,12.29,246
MARI,Linear Regression,5,35.04,246
MCB,Linear Regression,5,2.98,246
MEBL,Linear Regression,5,2.9,246
MEHT,Linear Regression,5,21.55,137
MLCF,Linear Regression,5,0.7,246
MTL,Linear Regression,5,7.6,246
MUREB,Linear Regression,5,8.03,246
NATF,Linear Regression,5,2.77,246
NBP,Linear Regression,5,0.97,246
NESTLE,Linear Regression,5,105.31,212
NETSOL,Linear Regression,5,2.69,246
NML,Linear Regression,5,1.2,246
OGDC,Linear Regression,5,2.77,246
PABC,Linear Regression,5,1.54,246
PAEL,Linear Regression,5,0.57,246
PAKT,Linear Regression,5,25.38,221
PGLC,Linear Regression,5,0.34,224
PIBTL,Linear Regression,5,0.16,246
PIOC,Linear Regression,5,3.44,246
PKGS,Linear Regression,5,8.46,245
POL,Linear Regression,5,5.26,246
POWER,Linear Regression,5,0.15,246
PPL,Linear Regression,5,2.27,246
PSEL,Linear Regression,5,33.21,200
PSO,Linear Regression,5,3.48,246
PSX,Linear Regression,5,0.34,246
PTC,Linear Regression,5,0.44,246
RMPL,Linear Regression,5,107.28,212
SAZEW,Linear Regression,5,17.21,246
SCBPL,Linear Regression,5,0.98,246
SEARL,Linear Regression,5,1.4,246
SHFA,Linear Regression,5,5.18,236
SNGP,Linear Regression,5,1.31,246
SRVI,Linear Regression,5,20.78,246
SSGC,Linear Regression,5,0.39,246
SSOM,Linear Regression,5,2.47,167
SYS,Linear Regression,5,6.47,246
TGL,Linear Regression,5,1.97,246
THALL,Linear Regression,5,10.38,239
TRG,Linear Regression,5,1.29,246
UBL,Linear Regression,5,3.21,246
UNITY,Linear Regression,5,0.46,246
UPFL,Linear Regression,5,414.84,207
YOUW,Linear Regression,5,0.13,246
ABL,Random Forest,5,1.72,241
ABOT,Random Forest,5,16.44,244
AGP,Random Forest,5,2.26,246
AHCL,Random Forest,5,1.19,245
AICL,Random Forest,5,0.68,245
AIRLINK,Random Forest,5,2.76,246
AKBL,Random Forest,5,0.6,246
APL,Random Forest,5,6.18,246
ATLH,Random Forest,5,10.85,238
ATRL,Random Forest,5,8.27,246
BAFL,Random Forest,5,1.17,246
BAHL,Random Forest,5,1.66,246
BNWM,Random Forest,5,0.87,222
BOP,Random Forest,5,0.12,246
BWCL,Random Forest,5,4.34,245
CHCC,Random Forest,5,3.66,246
CNERGY,Random Forest,5,0.12,246
COLG,Random Forest,5,14.69,246
CPHL,Random Forest,5,0.73,246
DGKC,Random Forest,5,1.65,246
EFERT,Random Forest,5,2.65,246
ENGROH,Random Forest,5,2.86,246
FABL,Random Forest,5,0.76,246
FATIMA,Random Forest,5,0.91,246
FCCL,Random Forest,5,0.53,246
FFC,Random Forest,5,3.77,246
FFL,Random Forest,5,0.21,246
GADT,Random Forest,5,4.13,210
GAL,Random Forest,5,6.43,246
GHGL,Random Forest,5,0.41,246
GHNI,Random Forest,5,9.4,246
GLAXO,Random Forest,5,4.17,246
HALEON,Random Forest,5,11.78,245
HBL,Random Forest,5,1.86,246
HCAR,Random Forest,5,6.42,246
HINOON,Random Forest,5,12.54,246
HMB,Random Forest,5,1.16,245
HUBC,Random Forest,5,1.99,246
HUMNL,Random Forest,5,0.29,246
IBFL,Random Forest,5,7.72,175
ILP,Random Forest,5,1.08,246
INDU,Random Forest,5,26.74,246
INIL,Random Forest,5,3.38,246
ISL,Random Forest,5,1.47,246
JDWS,Random Forest,5,17.32,211
JVDC,Random Forest,5,0.95,222
KAPCO,Random Forest,5,0.39,246
KEL,Random Forest,5,0.13,246
KOHC,Random Forest,5,6.18,246
KTML,Random Forest,5,3.13,220
LCI,Random Forest,5,18.73,245
LOTCHEM,Random Forest,5,0.29,246
LUCK,Random Forest,5,13.47,246
MARI,Random Forest,5,43.63,246
MCB,Random Forest,5,3.21,246
MEBL,Random Forest,5,3.46,246
MEHT,Random Forest,5,23.94,137
MLCF,Random Forest,5,0.72,246
MTL,Random Forest,5,7.77,246
MUREB,Random Forest,5,8.65,246
NATF,Random Forest,5,2.89,246
NBP,Random Forest,5,1.09,246
NESTLE,Random Forest,5,98.1,212
NETSOL,Random Forest,5,2.74,246
NML,Random Forest,5,1.24,246
OGDC,Random Forest,5,2.89,246
PABC,Random Forest,5,1.55,246
PAEL,Random Forest,5,0.59,246
PAKT,Random Forest,5,28.78,221
PGLC,Random Forest,5,0.38,224
PIBTL,Random Forest,5,0.17,246
PIOC,Random Forest,5,3.56,246
PKGS,Random Forest,5,8.83,245
POL,Random Forest,5,6.41,246
POWER,Random Forest,5,0.16,246
PPL,Random Forest,5,2.32,246
PSEL,Random Forest,5,35.89,200
PSO,Random Forest,5,3.75,246
PSX,Random Forest,5,0.36,246
PTC,Random Forest,5,0.47,246
RMPL,Random Forest,5,112.8,212
SAZEW,Random Forest,5,20.46,246
SCBPL,Random Forest,5,1.06,246
SEARL,Random Forest,5,1.43,246
SHFA,Random Forest,5,5.76,236
SNGP,Random Forest,5,1.3,246
SRVI,Random Forest,5,24.1,246
SSGC,Random Forest,5,0.42,246
SSOM,Random Forest,5,2.79,167
SYS,Random Forest,5,6.58,246
TGL,Random Forest,5,2.02,246
THALL,Random Forest,5,11.7,239
TRG,Random Forest,5,1.36,246
UBL,Random Forest,5,3.47,246
UNITY,Random Forest,5,0.48,246
UPFL,Random Forest,5,311.89,207
YOUW,Random Forest,5,0.14,246
ABL,XGBoost,5,1.64,241
ABOT,XGBoost,5,15.93,244
AGP,XGBoost,5,2.17,246
AHCL,XGBoost,5,1.18,245
AICL,XGBoost,5,0.68,245
AIRLINK,XGBoost,5,2.69,246
AKBL,XGBoost,5,0.58,246
APL,XGBoost,5,5.94,246
ATLH,XGBoost,5,9.29,238
ATRL,XGBoost,5,8.66,246
BAFL,XGBoost,5,1.12,246
BAHL,XGBoost,5,1.7,246
BNWM,XGBoost,5,0.81,222
BOP,XGBoost,5,0.12,246
BWCL,XGBoost,5,4.28,245
CHCC,XGBoost,5,3.77,246
CNERGY,XGBoost,5,0.12,246
COLG,XGBoost,5,13.83,246
CPHL,XGBoost,5,0.73,246
DGKC,XGBoost,5,1.63,246
EFERT,XGBoost,5,2.36,246
ENGROH,XGBoost,5,2.87,246
FABL,XGBoost,5,0.76,246
FATIMA,XGBoost,5,0.84,246
FCCL,XGBoost,5,0.51,246
FFC,XGBoost,5,3.63,246
FFL,XGBoost,5,0.21,246
GADT,XGBoost,5,4.27,210
GAL,XGBoost,5,6.24,246
GHGL,XGBoost,5,0.42,246
GHNI,XGBoost,5,9.07,246
GLAXO,XGBoost,5,4.49,246
HALEON,XGBoost,5,11.07,245
HBL,XGBoost,5,1.85,246
HCAR,XGBoost,5,6.29,246
HINOON,XGBoost,5,12.03,246
HMB,XGBoost,5,1.2,245
HUBC,XGBoost,5,2.12,246
HUMNL,XGBoost,5,0.28,246
IBFL,XGBoost,5,7.72,175
ILP,XGBoost,5,1.06,246
INDU,XGBoost,5,25.74,246
INIL,XGBoost,5,3.33,246
ISL,XGBoost,5,1.44,246
JDWS,XGBoost,5,16.03,211
JVDC,XGBoost,5,0.95,222
KAPCO,XGBoost,5,0.4,246
KEL,XGBoost,5,0.12,246
KOHC,XGBoost,5,6.18,246
KTML,XGBoost,5,3.2,220
LCI,XGBoost,5,17.64,245
LOTCHEM,XGBoost,5,0.28,246
LUCK,XGBoost,5,12.31,246
MARI,XGBoost,5,39.27,246
MCB,XGBoost,5,3.05,246
MEBL,XGBoost,5,2.95,246
MEHT,XGBoost,5,23.01,137
MLCF,XGBoost,5,0.71,246
MTL,XGBoost,5,7.46,246
MUREB,XGBoost,5,8.39,246
NATF,XGBoost,5,2.88,246
NBP,XGBoost,5,1.02,246
NESTLE,XGBoost,5,106.67,212
NETSOL,XGBoost,5,2.75,246
NML,XGBoost,5,1.16,246
OGDC,XGBoost,5,2.76,246
PABC,XGBoost,5,1.56,246
PAEL,XGBoost,5,0.58,246
PAKT,XGBoost,5,27.61,221
PGLC,XGBoost,5,0.39,224
