Ticker,Model,Target,MAE,MAPE,Accuracy_%
MLCF,Linear Regression,Target_Low,1.15,3.02,96.98
MLCF,LSTM,Target_Low,18.37,48.41,51.59
NESTLE,Linear Regression,Target_High,91.75,1.23,98.77
NESTLE,Naive Baseline,Target_High,105.42,1.42,98.58
NESTLE,Random Forest,Target_High,123.96,1.67,98.33
NESTLE,XGBoost,Target_High,250.98,3.33,96.67
NESTLE,LSTM,Target_High,278.92,3.85,96.15
NESTLE,Linear Regression,Target_Low,81.81,1.14,98.86
NESTLE,Naive Baseline,Target_Low,90.04,1.25,98.75
NESTLE,Random Forest,Target_Low,152.72,2.13,97.87
NESTLE,LSTM,Target_Low,244.86,3.42,96.58
NESTLE,XGBoost,Target_Low,260.01,3.55,96.45
NETSOL,XGBoost,Target_High,2.01,1.52,98.48
NETSOL,Random Forest,Target_High,2.04,1.53,98.47
NETSOL,Linear Regression,Target_High,2.09,1.58,98.42
NETSOL,Naive Baseline,Target_High,2.66,2.03,97.97
NETSOL,LSTM,Target_High,5.31,3.9,96.1
NETSOL,XGBoost,Target_Low,1.87,1.5,98.5
NETSOL,Random Forest,Target_Low,1.91,1.53,98.47
NETSOL,Linear Regression,Target_Low,2.06,1.63,98.37
NETSOL,Naive Baseline,Target_Low,2.56,2.05,97.95
NETSOL,LSTM,Target_Low,6.32,4.99,95.01
OGDC,XGBoost,Target_High,2.22,1.44,98.56
OGDC,Random Forest,Target_High,2.34,1.51,98.49
OGDC,Linear Regression,Target_High,2.37,1.56,98.44
OGDC,Naive Baseline,Target_High,2.89,1.85,98.15
OGDC,LSTM,Target_High,7.83,4.92,95.08
OGDC,Random Forest,Target_Low,1.88,1.27,98.73
OGDC,XGBoost,Target_Low,1.87,1.28,98.72
OGDC,Linear Regression,Target_Low,1.94,1.35,98.65
OGDC,Naive Baseline,Target_Low,2.38,1.61,98.39
OGDC,LSTM,Target_Low,8.2,5.2,94.8
PAKT,Random Forest,Target_High,22.49,2.08,97.92
PAKT,Linear Regression,Target_High,23.1,2.13,97.87
PAKT,XGBoost,Target_High,23.2,2.15,97.85
PAKT,Naive Baseline,Target_High,26.54,2.48,97.52
PAKT,LSTM,Target_High,33.3,3.03,96.97
PAKT,Linear Regression,Target_Low,23.22,2.29,97.71
PAKT,XGBoost,Target_Low,24.16,2.38,97.62
PAKT,Random Forest,Target_Low,24.38,2.41,97.59
PAKT,Naive Baseline,Target_Low,28.76,2.8,97.2
PAKT,LSTM,Target_Low,42.92,4.13,95.87
PPL,XGBoost,Target_High,1.93,1.42,98.58
PPL,Random Forest,Target_High,1.92,1.43,98.57
