Ticker,Target,Horizon,N_Rows,Naive_MAE,Best_Single_Model,Best_Single_MAE,Best_Single_Improvement_over_Naive_%,Ensemble_MAE,Ensemble_Beats_Single,Ensemble_Improvement_over_Naive_%,Ensemble_Directional_Accuracy_%,Std_Error,P10,P90
LUCK,Close,10,216,42.53,Random Forest,41.49,2.4657345536922324,43.0,False,-1.0838943775425571,52.78,55.084,-45.2795,69.1587
MARI,Close,10,216,255.94,LSTM,259.01,-1.2007041969185275,284.03,False,-10.977296659964127,35.19,693.072,-193.0089,300.6944
MCB,Close,10,216,11.1,GRU,10.91,1.65264527181538,11.26,False,-1.4567116619414346,52.78,14.0938,-11.7619,19.997
MEBL,Close,10,216,10.86,Linear Regression,11.11,-2.2766189512550667,11.66,False,-7.341273545463057,46.76,14.4633,-16.6818,22.7964
MLCF,Close,10,216,2.09,Linear Regression,2.13,-1.9481449127492378,2.27,False,-8.489313041252394,50.46,3.0463,-3.4446,3.7963
NESTLE,Close,10,182,145.46,Linear Regression,173.41,-19.212007932810863,196.72,False,-35.23709027202145,37.91,238.6601,-301.3577,160.4762
NETSOL,Close,10,216,8.15,Linear Regression,8.35,-2.498474547837916,8.3,True,-1.8287165982282056,58.8,11.1425,-9.3984,18.1603
OGDC,Close,10,216,7.94,Linear Regression,7.6,4.254413898451053,7.68,False,3.2538548841466755,54.17,10.0212,-6.9963,15.5288
PAKT,Close,10,191,74.61,Linear Regression,74.64,-0.03829703092104928,77.96,False,-4.481277285402367,49.74,95.9402,-94.5742,139.9515
PPL,Close,10,216,7.65,LSTM,7.3,4.582151152596198,7.41,False,3.1103450383415896,52.78,9.8183,-7.5991,14.5331
PSO,Close,10,216,17.36,Linear Regression,15.98,7.9647488425488016,17.24,False,0.708290040047462,48.15,25.3809,-9.3016,37.5
SYS,Close,10,216,21.58,XGBoost,20.78,3.734091341610477,20.96,False,2.8985518841369173,56.94,28.8986,-21.4464,42.5363
TRG,Close,10,216,3.82,Linear Regression,3.66,4.19453496811366,3.71,False,2.7030722898514368,56.94,4.9038,-6.2484,5.5013
UBL,Close,10,216,13.02,XGBoost,11.26,13.505242760081781,11.63,False,10.695762951182722,65.28,13.9596,-10.4747,24.15
UNITY,Close,10,216,1.73,Linear Regression,1.82,-4.894942753089218,2.16,False,-24.604508131266904,27.78,2.9025,-2.8634,4.19
BAHL,Open,10,216,5.78,Linear Regression,5.94,-2.8209564316214486,5.94,True,-2.7998016510376433,49.07,7.9661,-6.9316,9.5922
COLG,Open,10,216,34.53,XGBoost,32.87,4.831818820547834,32.63,True,5.511973429050182,73.15,46.8914,-33.2362,81.6794
DGKC,Open,10,216,4.95,Linear Regression,5.07,-2.4028857258888063,5.22,False,-5.567883301538059,50.0,6.8584,-6.608,8.8845
EFERT,Open,10,216,7.01,Linear Regression,6.84,2.3897138453132842,6.98,False,0.46078610450156154,61.11,9.2592,-6.189,14.252
ENGROH,Open,10,216,10.4,Linear Regression,9.99,4.016038346892023,10.54,False,-1.2698392252061579,56.02,14.295,-6.2722,23.732
FFC,Open,10,216,15.39,LSTM,14.24,7.4762391978561205,14.72,False,4.339559677575389,57.41,17.7095,-6.9203,34.2516
HBL,Open,10,216,9.13,GRU,9.04,0.9108168272435558,9.09,False,0.4353811515183903,50.93,12.0355,-11.2397,16.5415
HUBC,Open,10,216,7.31,LSTM,7.47,-2.1644781189419424,7.71,False,-5.450884596556251,41.2,10.7446,-14.7744,10.7835
ILP,Open,10,216,3.42,Linear Regression,3.64,-6.552903317572202,3.93,False,-14.957259515319691,42.59,5.0732,-6.2431,6.213
INDU,Open,10,216,49.64,LSTM,44.09,11.16690046187247,48.89,False,1.5101293317728566,62.04,65.7723,-40.6401,97.4136
LUCK,Open,10,216,41.97,Random Forest,41.33,1.5345222418426352,41.66,False,0.7340436509879608,54.63,55.1336,-49.9522,70.1008
MARI,Open,10,216,254.85,LSTM,255.82,-0.3819901502771389,279.92,False,-9.83496714487699,42.59,690.5532,-175.0761,332.5522
MCB,Open,10,216,10.7,GRU,10.62,0.7930432166415265,10.77,False,-0.6442040893550348,53.24,13.6574,-12.5121,19.5023
MEBL,Open,10,216,10.46,Linear Regression,10.67,-1.9515530866407953,11.05,False,-5.575211029342979,47.69,13.8531,-16.3838,20.5655
MLCF,Open,10,216,2.05,Linear Regression,2.05,-0.2775969600014063,2.17,False,-6.135946445230371,57.87,2.9258,-3.0633,3.5473
NESTLE,Open,10,182,154.64,LSTM,161.35,-4.339514942277542,184.08,False,-19.03750023377502,48.9,251.1025,-258.7779,278.967
NETSOL,Open,10,216,8.19,Linear Regression,8.37,-2.210569884751351,8.36,True,-2.106907665966963,57.87,11.0108,-8.5245,19.0287
OGDC,Open,10,216,7.65,LSTM,7.11,7.039014628110732,7.35,False,3.8781814499388565,56.02,9.7384,-5.8928,14.7551
PAKT,Open,10,191,68.59,Linear Regression,68.32,0.4030533910666886,70.92,False,-3.393728055574388,49.74,88.7494,-78.7366,131.8534
PPL,Open,10,216,7.35,LSTM,6.99,4.8806433134430165,7.11,False,3.244209426491536,50.93,9.4109,-6.994,15.2114
PSO,Open,10,216,16.65,Linear Regression,15.15,9.013234837043084,16.42,False,1.399813417101458,47.22,24.0923,-7.9631,37.1121
SYS,Open,10,216,20.86,XGBoost,20.27,2.8251865134707295,20.57,False,1.3623696937832757,54.17,28.2702,-18.688,43.89
TRG,Open,10,216,3.71,Linear Regression,3.62,2.3258727842994587,3.69,False,0.5574596279037582,57.87,4.9949,-5.6335,5.6311
UBL,Open,10,216,12.43,XGBoost,10.89,12.400340956128908,11.12,False,10.553247204001993,62.5,14.0461,-10.2496,22.3074
UNITY,Open,10,216,1.69,Linear Regression,1.75,-3.8874638698361768,2.0,False,-18.503355703185306,36.57,2.7591,-2.8295,4.2531
BAHL,Close,20,216,8.82,Linear Regression,9.13,-3.4916698213464596,9.44,False,-7.084675840874851,46.3,10.7019,-10.1181,15.526
COLG,Close,20,216,62.03,XGBoost,55.79,10.066677507085316,56.03,False,9.666786928283154,79.17,72.7586,-56.2284,128.974
DGKC,Close,20,216,7.28,Linear Regression,7.1,2.4549699861518337,7.63,False,-4.840425919038157,46.76,9.1122,-9.7633,15.6516
EFERT,Close,20,216,10.28,Linear Regression,9.81,4.596457098487733,10.54,False,-2.556571069645994,56.02,11.0141,-7.5034,23.4408
ENGROH,Close,20,216,16.73,Linear Regression,16.32,2.4345902345619543,16.94,False,-1.2551574509455745,45.83,21.8929,-16.3969,36.25
FFC,Close,20,216,27.25,Linear Regression,23.94,12.127763803432893,26.19,False,3.872479515922373,53.7,23.6799,-3.4115,57.3073
HBL,Close,20,216,11.97,LSTM,11.42,4.591565956794792,11.46,False,4.240616228569482,63.89,14.7536,-12.1711,25.1585
HUBC,Close,20,216,13.35,LSTM,13.14,1.5952519103443896,14.18,False,-6.187843850465865,35.19,17.6303,-24.826,20.75
ILP,Close,20,216,5.31,Linear Regression,5.86,-10.38004378697201,6.47,False,-21.913451508142916,36.11,7.69,-12.0209,8.3547
INDU,Close,20,216,65.53,Linear Regression,68.36,-4.31510666134279,68.67,False,-4.801186035524073,57.41,82.5204,-40.4164,145.8084
LUCK,Close,20,216,58.64,Linear Regression,59.64,-1.6975120615134205,61.75,False,-5.295903963463145,56.48,69.7936,-61.1341,134.3449
MARI,Close,20,216,444.41,LSTM,447.73,-0.7484354188645438,475.29,False,-6.949603281102958,53.7,923.9629,-304.0028,464.5423
MCB,Close,20,216,13.42,LSTM,13.46,-0.31044754948982883,13.88,False,-3.407150940782387,56.02,16.0872,-18.9095,23.6454
MEBL,Close,20,216,13.21,Linear Regression,14.1,-6.735028928285463,15.32,False,-15.916289338859123,46.76,19.128,-20.2414,29.5203
MLCF,Close,20,216,2.68,Linear Regression,2.56,4.628140544784427,2.89,False,-7.793248571794817,56.02,3.846,-4.869,5.0197
NESTLE,Close,20,182,227.6,LSTM,258.96,-13.780965883933666,246.81,True,-8.440278197684034,52.2,291.2492,-351.9776,479.181
NETSOL,Close,20,216,10.16,GRU,10.31,-1.4057998209563098,10.19,True,-0.2383498768722892,60.19,12.878,-8.8797,24.1682
OGDC,Close,20,216,12.07,Linear Regression,10.7,11.403849631951525,11.87,False,1.726714625445784,52.31,12.7012,-7.3034,24.8434
PAKT,Close,20,191,106.52,XGBoost,96.73,9.19638408349053,104.17,False,2.207032268966818,59.69,128.8462,-132.5535,196.0257
PPL,Close,20,216,12.19,LSTM,11.19,8.223382865829223,11.34,False,6.994572686506427,48.61,13.4562,-9.395,23.5435
PSO,Close,20,216,29.69,Linear Regression,27.74,6.56743022007277,30.97,False,-4.327325928751116,50.0,40.7841,-11.3097,71.4742
SYS,Close,20,216,30.93,XGBoost,29.22,5.543638534139407,29.66,False,4.100393955650576,51.39,39.3856,-27.6628,71.3408
TRG,Close,20,216,5.37,Linear Regression,4.95,7.89347892493675,5.36,False,0.221200895145507,54.17,6.6696,-8.6746,7.0599
UBL,Close,20,216,21.52,LSTM,18.15,15.644952372357043,17.76,True,17.442226322470717,67.59,17.1803,-9.685,35.5214
UNITY,Close,20,216,2.72,Linear Regression,2.87,-5.5052639939564605,3.32,False,-22.104914595631335,31.02,3.9821,-4.0286,6.2736
BAHL,Open,20,216,8.65,Linear Regression,8.99,-3.885722938797025,9.5,False,-9.803714737484535,43.98,10.766,-10.7547,15.4786
COLG,Open,20,216,60.34,Linear Regression,55.09,8.697462326203624,56.71,False,6.018066482975617,81.02,73.6386,-54.125,131.2233
DGKC,Open,20,216,7.22,Linear Regression,6.99,3.2231171982085867,7.54,False,-4.3844712306274465,53.24,8.9513,-8.543,14.9461
EFERT,Open,20,216,10.16,Linear Regression,9.68,4.687488878719568,10.17,False,-0.13572352962737905,59.72,11.0007,-8.1979,22.3792
ENGROH,Open,20,216,16.47,LSTM,15.7,4.646283860668559,16.21,False,1.5837252868065845,52.78,20.9587,-12.9665,34.7084
FFC,Open,20,216,26.74,Linear Regression,23.28,12.937753437944407,25.39,False,5.055908271477745,59.26,23.7361,-3.7175,56.4801
HBL,Open,20,216,11.96,XGBoost,11.62,2.840816455322828,11.6,True,3.0880601388249613,58.33,15.0771,-12.1865,23.2725
HUBC,Open,20,216,13.17,Linear Regression,13.22,-0.4165746899484394,14.12,False,-7.183627526176382,37.5,17.5484,-22.5431,19.2807
ILP,Open,20,216,5.21,Linear Regression,5.74,-10.138907366644252,6.48,False,-24.31218199399017,34.26,7.7056,-11.2848,9.1044
INDU,Open,20,216,71.62,Linear Regression,72.62,-1.390205300269183,72.69,False,-1.4987349870410602,56.02,86.0762,-53.1981,146.4931
LUCK,Open,20,216,57.69,Linear Regression,57.99,-0.520903930794147,59.96,False,-3.927610329196448,53.7,67.4664,-52.9822,127.275
MARI,Open,20,216,440.73,LSTM,447.03,-1.4295149286699174,471.88,False,-7.068745070371858,49.07,922.7174,-292.1439,479.5463
MCB,Open,20,216,13.27,Linear Regression,13.37,-0.7674239668096858,14.51,False,-9.36284626530551,50.0,17.0191,-18.9492,26.2449
MEBL,Open,20,216,12.86,Linear Regression,13.76,-7.049439133605635,14.89,False,-15.850902754613305,42.13,18.7923,-21.1249,29.4097
MLCF,Open,20,216,2.55,Linear Regression,2.51,1.8492435331781434,2.85,False,-11.662844632445157,51.85,3.7199,-4.3643,4.944
NESTLE,Open,20,182,235.73,Linear Regression,242.85,-3.0219664793613354,260.49,False,-10.503489285330788,51.65,309.2856,-371.7155,458.565
NETSOL,Open,20,216,10.15,GRU,10.24,-0.932578244462518,9.98,True,1.6188954727686475,57.87,13.1727,-8.9664,26.4209
OGDC,Open,20,216,11.83,Linear Regression,10.43,11.805298616276271,11.4,False,3.5900334913560066,57.41,12.523,-6.4226,24.2376
PAKT,Open,20,191,104.39,XGBoost,100.56,3.6670090455162487,102.26,False,2.0428611443420457,52.88,128.4233,-117.3089,204.2983
