Ticker,Target,Horizon,Model,Feature_1,Direction_1,Feature_2,Direction_2,Feature_3,Direction_3
ABL,Open,20,Random Forest,Close_to_SMA_200,down,Month,down,Rolling_Min_20,down
AKBL,Open,20,XGBoost,Month,down,BB_Bandwidth,down,Rolling_Min_20,down
BNWM,Open,20,XGBoost,Month,down,Rolling_Max_20,up,BB_Bandwidth,down
BOP,Open,20,XGBoost,Volume_SMA_20,down,Close_to_SMA_200,down,Month,down
BWCL,Open,20,XGBoost,Month,down,Rolling_Min_20,down,Volume_SMA_20,up
GAL,Open,20,Random Forest,Month,down,Ticker_encoded,down,Close_to_SMA_200,up
GHNI,Open,20,Random Forest,Ticker_encoded,down,Close_to_SMA_200,up,MACD_Pct,up
PABC,Open,20,Random Forest,Close_to_SMA_200,down,Rolling_Max_20,up,Volume_SMA_20,up
PAKT,Open,20,Random Forest,Close_to_SMA_200,down,Month,down,Close_to_SMA_50,down
POWER,Open,20,XGBoost,Month,down,Volume_SMA_20,down,Rolling_Min_20,up
PPL,Open,20,Random Forest,Month,down,Close_to_SMA_200,down,Rolling_Min_20,down
PTC,Open,20,Random Forest,Close_to_SMA_200,up,Month,down,Volume_SMA_20,down
SEARL,Open,20,XGBoost,Close_to_SMA_200,down,Rolling_Max_20,up,Month,down
SSOM,Open,20,Random Forest,Month,down,Close_to_SMA_200,down,Close_to_SMA_50,down
SYS,Open,20,XGBoost,Close_to_SMA_200,down,Ticker_encoded,up,Month,down
AHCL,Open,60,XGBoost,Ticker_encoded,up,Rolling_Max_20,up,Rolling_Min_20,up
AIRLINK,Open,60,XGBoost,Rolling_Max_20,down,Close_to_SMA_200,down,Month,up
ATLH,Open,60,Random Forest,Rolling_Min_20,down,Month,up,Volume_SMA_20,up
BNWM,Open,60,XGBoost,Ticker_encoded,down,Volatility_20,down,Month,up
BWCL,Open,60,Random Forest,Rolling_Min_20,down,Month,up,Close_to_SMA_200,down
CPHL,Open,60,XGBoost,Close_to_SMA_200,down,Volatility_20,down,Month,up
ENGROH,Open,60,Random Forest,Rolling_Min_20,down,Close_to_SMA_200,down,Volume_SMA_20,down
GAL,Open,60,Random Forest,Ticker_encoded,down,Rolling_Min_20,down,Month,up
HMB,Open,60,XGBoost,Volatility_20,down,Ticker_encoded,up,Close_to_SMA_200,down
JVDC,Open,60,Random Forest,Close_to_SMA_200,up,Volatility_20,down,Rolling_Min_20,down
KEL,Open,60,XGBoost,Volume_SMA_20,down,Ticker_encoded,down,Volume_lag_1,down
MUREB,Open,60,Random Forest,Rolling_Min_20,down,Close_to_SMA_200,down,Month,up
NBP,Open,60,XGBoost,Close_to_SMA_200,down,Rolling_Min_20,down,Month,up
NETSOL,Open,60,XGBoost,Volatility_20,down,Rolling_Min_20,down,Close_to_SMA_200,down
NML,Open,60,XGBoost,Month,up,Close_to_SMA_200,down,Rolling_Min_20,down
PABC,Open,60,XGBoost,Close_to_SMA_200,down,Volatility_20,down,Rolling_Min_20,down
PAKT,Open,60,XGBoost,Rolling_Min_20,down,Close_to_SMA_200,down,Rolling_Max_20,down
PGLC,Open,60,XGBoost,Rolling_Min_20,up,Volume_SMA_20,up,Month,up
POL,Open,60,Random Forest,Rolling_Min_20,down,Month,up,Volatility_20,down
PTC,Open,60,Random Forest,Close_to_SMA_200,up,Month,up,Rolling_Min_20,up
SAZEW,Open,60,XGBoost,Rolling_Min_20,down,Close_to_SMA_200,down,Volatility_20,down
SHFA,Open,60,Random Forest,Rolling_Min_20,down,Month,up,Volatility_20,down
UBL,Open,60,Random Forest,Month,up,Ticker_encoded,up,Rolling_Min_20,down
ABL,Close,1,XGBoost,Body,down,ATR_Pct,up,Return_lag_5,up
AICL,Close,1,XGBoost,ATR_Pct,down,DayOfWeek,up,Open_Close_Range,up
AKBL,Close,1,XGBoost,DayOfWeek,up,Return_lag_5,up,BB_PercentB,up
APL,Close,1,XGBoost,Close_to_SMA_50,down,Price_Range,down,Lower_Wick,up
ATLH,Close,1,Random Forest,Open_Close_Range,down,DayOfWeek,up,Volume,down
BAFL,Close,1,XGBoost,Return_1d,up,Body,up,Month,up
BOP,Close,1,XGBoost,Volume_SMA_20,down,Return_lag_5,up,Open_Close_Range,up
COLG,Close,1,Random Forest,DayOfWeek,up,Open_Close_Range,down,Return_1d,down
CPHL,Close,1,XGBoost,High,up,Low,down,Open_Close_Range,down
ENGROH,Close,1,XGBoost,Body,down,DayOfWeek,up,Open_Close_Range,down
FABL,Close,1,XGBoost,Return_lag_5,up,Volume_Ratio,up,Close_to_SMA_50,down
GAL,Close,1,XGBoost,Open_Close_Range,up,Body,up,Lower_Wick,up
GLAXO,Close,1,Random Forest,DayOfWeek,up,Open_Close_Range,down,Month,up
