Ticker,Model,Target,MAE,MAPE,Accuracy_%,FeatureSet
INDU,XGBoost,Target_High,23.97,1.35,98.65,"Old (price target, raw features)"
INDU,LSTM,Target_Low,17.59,1.03,98.97,"New (return target, stationary features)"
INDU,LSTM,Target_Low,52.59,3.06,96.94,"Old (price target, raw features)"
INDU,Linear Regression,Target_Low,18.03,1.08,98.92,"New (return target, stationary features)"
INDU,Linear Regression,Target_Low,17.27,1.04,98.96,"Old (price target, raw features)"
INDU,Random Forest,Target_Low,17.89,1.07,98.93,"New (return target, stationary features)"
INDU,Random Forest,Target_Low,20.62,1.23,98.77,"Old (price target, raw features)"
INDU,XGBoost,Target_Low,18.09,1.08,98.92,"New (return target, stationary features)"
INDU,XGBoost,Target_Low,22.21,1.33,98.67,"Old (price target, raw features)"
LUCK,LSTM,Target_High,9.72,1.02,98.98,"New (return target, stationary features)"
LUCK,LSTM,Target_High,20.51,2.18,97.82,"Old (price target, raw features)"
LUCK,Linear Regression,Target_High,8.72,0.93,99.07,"New (return target, stationary features)"
LUCK,Linear Regression,Target_High,9.29,0.99,99.01,"Old (price target, raw features)"
LUCK,Random Forest,Target_High,9.08,0.97,99.03,"New (return target, stationary features)"
LUCK,Random Forest,Target_High,9.76,1.05,98.95,"Old (price target, raw features)"
LUCK,XGBoost,Target_High,9.19,0.98,99.02,"New (return target, stationary features)"
LUCK,XGBoost,Target_High,12.85,1.42,98.58,"Old (price target, raw features)"
LUCK,LSTM,Target_Low,8.44,0.93,99.07,"New (return target, stationary features)"
LUCK,LSTM,Target_Low,21.87,2.4,97.6,"Old (price target, raw features)"
LUCK,Linear Regression,Target_Low,8.41,0.95,99.05,"New (return target, stationary features)"
LUCK,Linear Regression,Target_Low,8.9,1.0,99.0,"Old (price target, raw features)"
LUCK,Random Forest,Target_Low,8.43,0.95,99.05,"New (return target, stationary features)"
LUCK,Random Forest,Target_Low,9.25,1.04,98.96,"Old (price target, raw features)"
LUCK,XGBoost,Target_Low,8.4,0.95,99.05,"New (return target, stationary features)"
LUCK,XGBoost,Target_Low,11.82,1.35,98.65,"Old (price target, raw features)"
MARI,LSTM,Target_High,39.7,5.1,94.9,"New (return target, stationary features)"
MARI,LSTM,Target_High,153.63,26.23,73.77,"Old (price target, raw features)"
MARI,Linear Regression,Target_High,46.03,6.47,93.53,"New (return target, stationary features)"
MARI,Linear Regression,Target_High,50.05,6.81,93.19,"Old (price target, raw features)"
MARI,Random Forest,Target_High,37.13,4.57,95.43,"New (return target, stationary features)"
MARI,Random Forest,Target_High,66.28,5.91,94.09,"Old (price target, raw features)"
MARI,XGBoost,Target_High,36.83,4.56,95.44,"New (return target, stationary features)"
MARI,XGBoost,Target_High,207.28,13.66,86.34,"Old (price target, raw features)"
MARI,LSTM,Target_Low,36.03,4.82,95.18,"New (return target, stationary features)"
MARI,LSTM,Target_Low,217.96,35.08,64.92,"Old (price target, raw features)"
MARI,Linear Regression,Target_Low,44.62,6.49,93.51,"New (return target, stationary features)"
MARI,Linear Regression,Target_Low,47.81,6.73,93.27,"Old (price target, raw features)"
MARI,Random Forest,Target_Low,36.53,4.47,95.53,"New (return target, stationary features)"
MARI,Random Forest,Target_Low,56.81,5.85,94.15,"Old (price target, raw features)"
MARI,XGBoost,Target_Low,36.8,4.55,95.45,"New (return target, stationary features)"
MARI,XGBoost,Target_Low,185.37,14.24,85.76,"Old (price target, raw features)"
MCB,LSTM,Target_High,2.73,1.14,98.86,"New (return target, stationary features)"
MCB,LSTM,Target_High,8.47,3.6,96.4,"Old (price target, raw features)"
MCB,Linear Regression,Target_High,2.29,0.97,99.03,"New (return target, stationary features)"
MCB,Linear Regression,Target_High,2.35,1.0,99.0,"Old (price target, raw features)"
MCB,Random Forest,Target_High,2.27,0.97,99.03,"New (return target, stationary features)"
MCB,Random Forest,Target_High,2.72,1.16,98.84,"Old (price target, raw features)"
MCB,XGBoost,Target_High,2.27,0.97,99.03,"New (return target, stationary features)"
MCB,XGBoost,Target_High,4.23,1.74,98.26,"Old (price target, raw features)"
MCB,LSTM,Target_Low,2.28,1.0,99.0,"New (return target, stationary features)"
MCB,LSTM,Target_Low,6.53,2.87,97.13,"Old (price target, raw features)"
MCB,Linear Regression,Target_Low,2.16,0.96,99.04,"New (return target, stationary features)"
MCB,Linear Regression,Target_Low,2.3,1.04,98.96,"Old (price target, raw features)"
MCB,Random Forest,Target_Low,2.11,0.94,99.06,"New (return target, stationary features)"
MCB,Random Forest,Target_Low,2.49,1.11,98.89,"Old (price target, raw features)"
MCB,XGBoost,Target_Low,2.13,0.95,99.05,"New (return target, stationary features)"
MCB,XGBoost,Target_Low,4.33,1.85,98.15,"Old (price target, raw features)"
MEBL,LSTM,Target_High,2.69,1.16,98.84,"New (return target, stationary features)"
MEBL,LSTM,Target_High,9.25,3.97,96.03,"Old (price target, raw features)"
MEBL,Linear Regression,Target_High,2.33,1.04,98.96,"New (return target, stationary features)"
MEBL,Linear Regression,Target_High,2.38,1.06,98.94,"Old (price target, raw features)"
MEBL,Random Forest,Target_High,2.31,1.03,98.97,"New (return target, stationary features)"
MEBL,Random Forest,Target_High,2.9,1.28,98.72,"Old (price target, raw features)"
MEBL,XGBoost,Target_High,2.31,1.03,98.97,"New (return target, stationary features)"
MEBL,XGBoost,Target_High,2.87,1.26,98.74,"Old (price target, raw features)"
MEBL,LSTM,Target_Low,2.37,1.07,98.93,"New (return target, stationary features)"
MEBL,LSTM,Target_Low,6.9,3.11,96.89,"Old (price target, raw features)"
MEBL,Linear Regression,Target_Low,2.3,1.07,98.93,"New (return target, stationary features)"
MEBL,Linear Regression,Target_Low,2.4,1.13,98.87,"Old (price target, raw features)"
MEBL,Random Forest,Target_Low,2.23,1.04,98.96,"New (return target, stationary features)"
MEBL,Random Forest,Target_Low,2.33,1.08,98.92,"Old (price target, raw features)"
MEBL,XGBoost,Target_Low,2.29,1.07,98.93,"New (return target, stationary features)"
MEBL,XGBoost,Target_Low,3.32,1.51,98.49,"Old (price target, raw features)"
MLCF,LSTM,Target_High,0.51,1.3,98.7,"New (return target, stationary features)"
MLCF,LSTM,Target_High,7.91,19.02,80.98,"Old (price target, raw features)"
MLCF,Linear Regression,Target_High,0.48,1.2,98.8,"New (return target, stationary features)"
MLCF,Linear Regression,Target_High,0.98,2.48,97.52,"Old (price target, raw features)"
MLCF,Random Forest,Target_High,0.48,1.2,98.8,"New (return target, stationary features)"
MLCF,Random Forest,Target_High,0.51,1.29,98.71,"Old (price target, raw features)"
MLCF,XGBoost,Target_High,0.48,1.21,98.79,"New (return target, stationary features)"
MLCF,XGBoost,Target_High,0.71,1.8,98.2,"Old (price target, raw features)"
MLCF,LSTM,Target_Low,0.47,1.26,98.74,"New (return target, stationary features)"
MLCF,LSTM,Target_Low,18.37,48.41,51.59,"Old (price target, raw features)"
MLCF,Linear Regression,Target_Low,0.47,1.24,98.76,"New (return target, stationary features)"
MLCF,Linear Regression,Target_Low,1.15,3.02,96.98,"Old (price target, raw features)"
MLCF,Random Forest,Target_Low,0.46,1.22,98.78,"New (return target, stationary features)"
MLCF,Random Forest,Target_Low,0.51,1.36,98.64,"Old (price target, raw features)"
MLCF,XGBoost,Target_Low,0.47,1.23,98.77,"New (return target, stationary features)"
MLCF,XGBoost,Target_Low,0.64,1.71,98.29,"Old (price target, raw features)"
NESTLE,LSTM,Target_High,82.95,1.14,98.86,"New (return target, stationary features)"
NESTLE,LSTM,Target_High,278.92,3.85,96.15,"Old (price target, raw features)"
NESTLE,Linear Regression,Target_High,92.05,1.23,98.77,"New (return target, stationary features)"
NESTLE,Linear Regression,Target_High,91.75,1.23,98.77,"Old (price target, raw features)"
NESTLE,Random Forest,Target_High,93.11,1.25,98.75,"New (return target, stationary features)"
NESTLE,Random Forest,Target_High,123.96,1.67,98.33,"Old (price target, raw features)"
NESTLE,XGBoost,Target_High,92.13,1.24,98.76,"New (return target, stationary features)"
NESTLE,XGBoost,Target_High,250.98,3.33,96.67,"Old (price target, raw features)"
NESTLE,LSTM,Target_Low,70.66,1.01,98.99,"New (return target, stationary features)"
NESTLE,LSTM,Target_Low,244.86,3.42,96.58,"Old (price target, raw features)"
NESTLE,Linear Regression,Target_Low,85.04,1.19,98.81,"New (return target, stationary features)"
NESTLE,Linear Regression,Target_Low,81.81,1.14,98.86,"Old (price target, raw features)"
NESTLE,Random Forest,Target_Low,86.06,1.2,98.8,"New (return target, stationary features)"
NESTLE,Random Forest,Target_Low,152.72,2.13,97.87,"Old (price target, raw features)"
NESTLE,XGBoost,Target_Low,83.0,1.16,98.84,"New (return target, stationary features)"
NESTLE,XGBoost,Target_Low,260.01,3.55,96.45,"Old (price target, raw features)"
NETSOL,LSTM,Target_High,2.19,1.61,98.39,"New (return target, stationary features)"
NETSOL,LSTM,Target_High,5.31,3.9,96.1,"Old (price target, raw features)"
NETSOL,Linear Regression,Target_High,2.01,1.51,98.49,"New (return target, stationary features)"
