Ticker,Target,Horizon,N_Rows,Naive_MAE,Best_Single_Model,Best_Single_MAE,Best_Single_Improvement_over_Naive_%,Ensemble_MAE,Ensemble_Beats_Single,Ensemble_Improvement_over_Naive_%
PAKT,Close,1,366,17.5,Random Forest,17.61,-0.6320630413417248,17.56,True,-0.30587654988023694
PPL,Close,1,366,3.78,XGBoost,3.75,0.6641655921781874,3.76,False,0.5198878164675664
PSO,Close,1,366,6.35,Random Forest,6.33,0.2937405561789827,6.37,False,-0.342501866622164
SYS,Close,1,364,4.74,Random Forest,4.8,-1.2999881323911968,4.8,False,-1.3231953087758874
TRG,Close,1,366,1.47,XGBoost,1.47,-0.12867991823837188,1.48,False,-0.80304632929973
UBL,Close,1,366,8.03,Random Forest,7.82,2.6468365389442066,7.87,False,1.9589149818738631
UNITY,Close,1,366,0.38,Linear Regression,0.38,-0.07054402255691679,0.38,False,-0.6580679241408349
BAHL,Open,1,366,1.25,LSTM,1.21,3.4173152736261865,1.23,False,2.068537669186452
COLG,Open,1,366,5.64,Random Forest,5.63,0.3289260112465026,5.58,True,1.0782293309226343
DGKC,Open,1,366,1.7,LSTM,1.65,3.038136501172035,1.61,True,5.203141906317959
EFERT,Open,1,366,1.2,Random Forest,1.19,0.8764957219648951,1.17,True,2.087028506671038
ENGROH,Open,1,366,1.66,Random Forest,1.65,0.6933945830410798,1.64,True,1.6203147178085944
FFC,Open,1,366,2.86,Random Forest,2.84,0.8074620503141758,2.81,True,1.7108734252373645
HBL,Open,1,366,1.63,LSTM,1.59,2.627507749618721,1.57,True,4.212104175864759
HUBC,Open,1,366,1.3,LSTM,1.27,2.1853562333080725,1.27,True,2.1962042835902333
ILP,Open,1,366,0.69,Random Forest,0.68,1.7705462376882444,0.68,False,1.6190100762521304
INDU,Open,1,366,12.9,Linear Regression,12.9,0.06622635233242388,13.37,False,-3.651643361564784
LUCK,Open,1,361,8.51,LSTM,8.42,1.1152659004179741,8.61,False,-1.0986531634189405
MARI,Open,1,366,4.06,LSTM,3.85,5.127741814177791,3.82,True,5.960468232591541
MCB,Open,1,366,2.06,LSTM,2.06,0.1165972685104189,2.02,True,2.225849895546507
MEBL,Open,1,366,2.23,Linear Regression,2.28,-2.4426709169640204,2.23,True,-0.2776137786142294
